client | 11:26:29 >> [Thread 21] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 31] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 67] Client started; opening data_2.csv
client | 11:26:29 >> [Thread 53] Client started; opening data_10.csv
client | 11:26:29 >> [Thread 18] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 38] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 46] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 5] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 68] Client started; opening data_3.csv
client | 11:26:29 >> [Thread 68] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 39] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 17] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 69] Client started; opening data_4.csv
client | 11:26:29 >> [Thread 7] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 29] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 33] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 70] Client started; opening data_5.csv
client | 11:26:29 >> [Thread 55] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 40] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 30] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 12] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 71] Client started; opening data_6.csv
client | 11:26:29 >> [Thread 36] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 20] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 11] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 56] Client started; opening data_2.csv
client | 11:26:30 >> [Thread 56] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 72] Client started; opening data_7.csv
client | 11:26:29 >> [Thread 58] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 73] Client started; opening data_8.csv
client | 11:26:29 >> [Thread 24] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 74] Client started; opening data_9.csv
client | 11:26:29 >> [Thread 75] Client started; opening data_10.csv
client | 11:26:30 >> [Thread 75] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 35] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 54] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 60] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 59] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 10] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 22] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 61] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 34] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 76] Client started; opening data_11.csv
client | 11:26:29 >> [Thread 45] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 77] Client started; opening data_1.csv
client | 11:26:29 >> [Thread 78] Client started; opening data_2.csv
client | 11:26:30 >> [Thread 78] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 43] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 62] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 79] Client started; opening data_3.csv
client | 11:26:29 >> [Thread 42] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 23] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 6] Enqueuing batch nr 3
client | 11:26:29 >> [Thread 13] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 80] Client started; opening data_4.csv
client | 11:26:29 >> [Thread 63] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 41] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 81] Client started; opening data_5.csv
client | 11:26:29 >> [Thread 4] Enqueuing batch nr 3
client | 11:26:29 >> [Thread 64] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 82] Client started; opening data_6.csv
client | 11:26:29 >> [Thread 37] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 27] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 25] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 60] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 14] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 8] Enqueuing batch nr 3
client | 11:26:29 >> [Thread 2] Enqueuing batch nr 3
client | 11:26:29 >> [Thread 83] Client started; opening data_7.csv
client | 11:26:29 >> [Thread 32] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 15] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 3] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 44] Enqueuing batch nr 2
client | 11:26:29 >> [Thread 67] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 84] Client started; opening data_8.csv
client | 11:26:29 >> [Thread 53] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 66] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 85] Client started; opening data_9.csv
client | 11:26:29 >> [Thread 48] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 19] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 86] Client started; opening data_10.csv
client | 11:26:30 >> [Thread 49] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 16] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 31] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 87] Client started; opening data_11.csv
client | 11:26:30 >> [Thread 69] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 88] Client started; opening data_1.csv
client | 11:26:30 >> [Thread 28] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 70] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 50] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 89] Client started; opening data_2.csv
client | 11:26:30 >> [Thread 9] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 7] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 46] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 71] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 47] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 57] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 72] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 51] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 30] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 65] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 18] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 5] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 90] Client started; opening data_3.csv
client | 11:26:30 >> [Thread 21] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 39] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 74] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 73] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 29] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 17] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 68] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 55] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 11] Enqueuing batch nr 3
client | 11:26:29 >> [Thread 52] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 12] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 91] Client started; opening data_4.csv
client | 11:26:30 >> [Thread 91] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 36] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 92] Client started; opening data_5.csv
client | 11:26:30 >> [Thread 38] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 20] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 40] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 93] Client started; opening data_6.csv
client | 11:26:30 >> [Thread 112] Client started; opening data_3.csv
client | 11:26:30 >> [Thread 94] Client started; opening data_7.csv
client | 11:26:30 >> [Thread 76] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 77] Enqueuing batch nr 1
client | 11:26:29 >> [Thread 26] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 58] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 79] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 54] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 35] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 75] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 24] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 42] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 95] Client started; opening data_8.csv
client | 11:26:31 >> [Thread 95] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 81] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 80] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 96] Client started; opening data_9.csv
client | 11:26:31 >> [Thread 96] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 13] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 61] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 10] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 59] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 82] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 62] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 41] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 45] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 97] Client started; opening data_10.csv
client | 11:26:30 >> [Thread 23] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 22] Connection with queue at 172.29.0.4 established.
client | 11:26:29 >> [Thread 1] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 83] Enqueuing batch nr 1
client | 11:26:31 >> [Thread 62] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 4] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 84] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 6] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 63] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 85] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 98] Client started; opening data_11.csv
client | 11:26:31 >> [Thread 98] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 25] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 3] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 99] Client started; opening data_1.csv
client | 11:26:30 >> [Thread 15] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 86] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 32] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 14] Enqueuing batch nr 3
client | 11:26:30 >> [Thread 8] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 37] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 100] Client started; opening data_2.csv
client | 11:26:31 >> [Thread 100] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 2] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 87] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 89] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 27] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 101] Client started; opening data_3.csv
client | 11:26:31 >> [Thread 101] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 48] Enqueuing batch nr 2
client | 11:26:30 >> [Thread 64] Connection with queue at 172.29.0.4 established.
client | 11:26:31 >> [Thread 83] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 102] Client started; opening data_4.csv
client | 11:26:30 >> [Thread 28] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 103] Client started; opening data_5.csv
client | 11:26:30 >> [Thread 66] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 104] Client started; opening data_6.csv
client | 11:26:30 >> [Thread 31] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 88] Enqueuing batch nr 1
client | 11:26:30 >> [Thread 19] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 105] Client started; opening data_7.csv
client | 11:26:30 >> [Thread 9] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 106] Client started; opening data_8.csv
client | 11:26:30 >> [Thread 107] Client started; opening data_9.csv
client | 11:26:30 >> [Thread 53] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 72] Connection with queue at 172.29.0.4 established.
client | 11:26:30 >> [Thread 70] Connection with queue at 172.29.0.4 established.
